date;drug_name;price;pharmacy_id;region;temperature;season;promotion
2023-01-01;BERLOCID 960;23.1;pharma_18;Casablanca;10.5;winter;1
2023-01-01;BUSCOPAN;23.3;pharma_11;Fes;10.5;winter;0
2023-01-01;MONO-TILDIEM LP;218.0;pharma_16;Casablanca;10.5;winter;0
2023-01-01;FLONOX;77.8;pharma_10;Marrakech;10.5;winter;1
2023-01-01;LONGAMYCINE;47.5;pharma_19;Tanger;10.5;winter;0
2023-01-01;ZOLAM;120.7;pharma_16;Casablanca;10.5;winter;0
2023-01-01;BETASTENE 0.05 %;30.0;pharma_4;Casablanca;10.5;winter;1
2023-01-01;ROACCUTANE;344.0;pharma_20;Fes;10.5;winter;1
2023-01-01;RIACEN;44.3;pharma_20;Fes;10.5;winter;1
2023-01-01;TICLID;135.4;pharma_12;Fes;10.5;winter;1
2023-01-01;CLOPRAME;17.3;pharma_14;Marrakech;10.5;winter;0
2023-01-01;ACIDAC;90.0;pharma_11;Fes;10.5;winter;0
2023-01-01;SECTRAL;104.2;pharma_10;Marrakech;10.5;winter;0
2023-01-01;MEIACT 200 MG;224.1;pharma_4;Casablanca;10.5;winter;0
2023-01-01;CAPEN;75.0;pharma_18;Casablanca;10.5;winter;1
2023-01-01;BICARBONATE SLF103;128.0;pharma_13;Tanger;10.5;winter;0
2023-01-01;ATARAX;17.2;pharma_8;Marrakech;10.5;winter;0
2023-01-01;KALEST;30.0;pharma_9;Marrakech;10.5;winter;0
2023-01-01;THIAM;52.0;pharma_14;Marrakech;10.5;winter;1
2023-01-01;METHOTREXATE BIODIM;30.7;pharma_6;Casablanca;10.5;winter;1
2023-01-01;FLUSTAPH;72.4;pharma_6;Casablanca;10.5;winter;0
2023-01-01;OMEGEN;71.0;pharma_11;Fes;10.5;winter;1
2023-01-01;ONCOVIN;193.5;pharma_8;Marrakech;10.5;winter;1
2023-01-01;DALIBOUR;9.2;pharma_17;Casablanca;10.5;winter;0
2023-01-01;CEFTRIAXONE MYLAN;470.0;pharma_8;Marrakech;10.5;winter;1
2023-01-01;CONVERTAL;164.2;pharma_8;Marrakech;10.5;winter;0
2023-01-01;PAXIL CR 25 MG;320.0;pharma_8;Marrakech;10.5;winter;1
2023-01-01;TAGAMET;89.0;pharma_2;Marrakech;10.5;winter;1
2023-01-01;TRICHOGIN;21.1;pharma_4;Casablanca;10.5;winter;1
2023-01-01;MILLIGYNON;63.9;pharma_9;Marrakech;10.5;winter;0
2023-01-01;SODIUM CHLORURE PROMOPHARM;0.0;pharma_11;Fes;10.5;winter;1
2023-01-01;DRILL EXPECT. AD.;27.3;pharma_17;Casablanca;10.5;winter;1
2023-01-01;HEXABRIX;674.1;pharma_3;Fes;10.5;winter;1
2023-01-01;TRINOMYC;78.0;pharma_5;Rabat;10.5;winter;1
2023-01-01;URO / EAU POUR IRRIGATION;95.0;pharma_11;Fes;10.5;winter;1
2023-01-01;COVERSYL;145.9;pharma_3;Fes;10.5;winter;1
2023-01-01;FONGICAN;68.0;pharma_12;Fes;10.5;winter;1
2023-01-01;NOVOCLIN;224.4;pharma_9;Marrakech;10.5;winter;1
2023-01-01;CETAXON;69.0;pharma_15;Casablanca;10.5;winter;1
2023-01-01;APROVEL;218.0;pharma_1;Casablanca;10.5;winter;0
2023-01-01;AVANDAMET;58.1;pharma_5;Rabat;10.5;winter;0
2023-01-01;NIMBEX;167.8;pharma_5;Rabat;10.5;winter;0
2023-01-01;ALFACEFAL 500 MG;145.0;pharma_4;Casablanca;10.5;winter;0
2023-01-01;SPASMYL;23.0;pharma_8;Marrakech;10.5;winter;0
2023-01-01;ASTAPH;50.0;pharma_8;Marrakech;10.5;winter;0
2023-01-01;CIPROFLOXACINE WIN 250 MG;63.4;pharma_18;Casablanca;10.5;winter;1
2023-01-01;GEPRID;79.2;pharma_2;Marrakech;10.5;winter;0
2023-01-01;MICROPHYLLINE;27.9;pharma_10;Marrakech;10.5;winter;1
2023-01-01;PARANTAL 3%;17.5;pharma_7;Tanger;10.5;winter;1
2023-01-01;DICLOBERL;32.1;pharma_13;Tanger;10.5;winter;1
2023-01-02;BARACLUDE;5266.0;pharma_16;Casablanca;4.0;winter;0
2023-01-02;FLEET PHOSPHO-SODA;128.0;pharma_16;Casablanca;4.0;winter;0
2023-01-02;NAPROXENE PHARMA FORT;51.2;pharma_4;Casablanca;4.0;winter;1
2023-01-02;AGYRAX;25.0;pharma_9;Marrakech;4.0;winter;1
2023-01-02;CEFTRIAXONE MYLAN;597.0;pharma_16;Casablanca;4.0;winter;0
2023-01-02;GENHEVAC B;148.4;pharma_2;Marrakech;4.0;winter;1
2023-01-02;ZANIDIP;128.0;pharma_18;Casablanca;4.0;winter;1
2023-01-02;ARANESP 100 µG;0.0;pharma_18;Casablanca;4.0;winter;1
2023-01-02;VIRAFERON PEG;0.0;pharma_9;Marrakech;4.0;winter;0
2023-01-02;PERCUTALGINE;16.4;pharma_3;Fes;4.0;winter;0
2023-01-02;NOOTROPYL;93.0;pharma_17;Casablanca;4.0;winter;0
2023-01-02;IDARAC;27.75;pharma_10;Marrakech;4.0;winter;1
2023-01-02;PROFLOX;76.0;pharma_13;Tanger;4.0;winter;1
2023-01-02;CARBOPLATINE MYLAN;684.0;pharma_11;Fes;4.0;winter;1
2023-01-02;KEFOTAX IV;69.0;pharma_2;Marrakech;4.0;winter;0
2023-01-02;TIM-87 0,25 %;36.65;pharma_19;Tanger;4.0;winter;1
2023-01-02;GLYSET;20.0;pharma_10;Marrakech;4.0;winter;1
2023-01-02;AMCARD;25.0;pharma_2;Marrakech;4.0;winter;1
2023-01-02;CARDINOR;17.0;pharma_17;Casablanca;4.0;winter;1
2023-01-02;MITOXANTRONE EBEWE;2099.0;pharma_18;Casablanca;4.0;winter;0
2023-01-02;AVANDIA;105.7;pharma_11;Fes;4.0;winter;0
2023-01-02;CANAFLUCAN;147.0;pharma_13;Tanger;4.0;winter;1
2023-01-02;MICROPAKINE LP 1000 MG;344.0;pharma_16;Casablanca;4.0;winter;1
2023-01-02;PURINOL;14.9;pharma_10;Marrakech;4.0;winter;0
2023-01-02;LAMISIL;52.8;pharma_1;Casablanca;4.0;winter;0
2023-01-02;SEPTANEST ADRENLINEE;215.0;pharma_7;Tanger;4.0;winter;1
2023-01-02;MEGAFLOX IST;38.0;pharma_18;Casablanca;4.0;winter;1
2023-01-02;ASAFARM;6.7;pharma_5;Rabat;4.0;winter;0
2023-01-02;NICOPATCH;250.0;pharma_16;Casablanca;4.0;winter;0
2023-01-02;URBANYL;23.5;pharma_12;Fes;4.0;winter;1
2023-01-02;SEBIVO 600 MG;0.0;pharma_9;Marrakech;4.0;winter;1
2023-01-02;INTRALGIS;22.7;pharma_8;Marrakech;4.0;winter;0
2023-01-02;DIMAZOL;88.0;pharma_9;Marrakech;4.0;winter;0
2023-01-02;SOMATULINE LP 90 MG;11752.0;pharma_15;Casablanca;4.0;winter;0
2023-01-02;SICCAFLUID;38.5;pharma_7;Tanger;4.0;winter;1
2023-01-02;BRONCHOFLUIDE;11.7;pharma_17;Casablanca;4.0;winter;1
2023-01-02;INNOHEP 3500 UI ANTI-XA/0,35 ML;100.5;pharma_2;Marrakech;4.0;winter;1
2023-01-02;ANTI-HEMORROÏDAIRE POMMADE;19.6;pharma_4;Casablanca;4.0;winter;1
2023-01-02;XELODA;0.0;pharma_20;Fes;4.0;winter;1
2023-01-02;FLEXEN;45.35;pharma_7;Tanger;4.0;winter;1
2023-01-02;CLAVAM;117.3;pharma_10;Marrakech;4.0;winter;1
2023-01-02;CALCIFIX VIT D3;42.2;pharma_3;Fes;4.0;winter;1
2023-01-02;AMLODIPINE GT;32.0;pharma_12;Fes;4.0;winter;1
2023-01-02;THIOPENTAL;969.0;pharma_5;Rabat;4.0;winter;0
2023-01-02;MAZAX 500 MG;60.0;pharma_9;Marrakech;4.0;winter;0
2023-01-02;SPECTRUM 250;55.0;pharma_2;Marrakech;4.0;winter;0
2023-01-02;OXAPLATINE MYLAN 5 MG/ML;2206.0;pharma_12;Fes;4.0;winter;1
2023-01-02;BI-TILDIEM LP;119.9;pharma_20;Fes;4.0;winter;1
2023-01-02;DECAPEPTYL LP;3546.0;pharma_12;Fes;4.0;winter;1
2023-01-02;REBIF 44 µG;10140.0;pharma_12;Fes;4.0;winter;0
2023-01-03;ACTIVAROL C 500;62.9;pharma_18;Casablanca;10.5;winter;0
2023-01-03;LACINE;159.9;pharma_14;Marrakech;10.5;winter;0
2023-01-03;EXOSEPTOPLIX;60.0;pharma_14;Marrakech;10.5;winter;1
2023-01-03;MEIACT 200 MG;224.1;pharma_8;Marrakech;10.5;winter;0
2023-01-03;GLUCONATE DE CALCIUM 10 % PROAMP;291.0;pharma_1;Casablanca;10.5;winter;0
2023-01-03;LUVERIS 75 UI;286.2;pharma_5;Rabat;10.5;winter;0
2023-01-03;AVANDAMET;28.7;pharma_12;Fes;10.5;winter;1
2023-01-03;MYRIN 50;0.0;pharma_6;Casablanca;10.5;winter;1
2023-01-03;TETRAXIM;144.0;pharma_10;Marrakech;10.5;winter;1
2023-01-03;IMUREL;378.0;pharma_2;Marrakech;10.5;winter;0
2023-01-03;MANNITOL 10% LAPROPHAN;317.6;pharma_18;Casablanca;10.5;winter;1
2023-01-03;DOLIPRANE;10.3;pharma_1;Casablanca;10.5;winter;0
2023-01-03;RINOCLENIL 50 MCG;71.2;pharma_20;Fes;10.5;winter;1
2023-01-03;SILDENAFIL WIN 50 MG;50.3;pharma_1;Casablanca;10.5;winter;0
2023-01-03;KANAMED PHARMA;18.0;pharma_4;Casablanca;10.5;winter;1
2023-01-03;CARBOPLATINE DBL;1493.0;pharma_6;Casablanca;10.5;winter;1
2023-01-03;BIGUAN 850;37.7;pharma_8;Marrakech;10.5;winter;0
2023-01-03;CICADERMA;43.4;pharma_3;Fes;10.5;winter;1
2023-01-03;DI-INDO;65.0;pharma_5;Rabat;10.5;winter;0
2023-01-03;ROFERON-A;269.0;pharma_5;Rabat;10.5;winter;0
2023-01-03;AMIKLIN;103.8;pharma_8;Marrakech;10.5;winter;0
2023-01-03;CLEREGIL ENF;19.65;pharma_2;Marrakech;10.5;winter;0
2023-01-03;REDLIP;130.0;pharma_11;Fes;10.5;winter;0
2023-01-03;ZOLAM;72.0;pharma_18;Casablanca;10.5;winter;0
2023-01-03;MEGAFLOX;60.0;pharma_11;Fes;10.5;winter;1
2023-01-03;TETRALYSAL;49.6;pharma_5;Rabat;10.5;winter;0
2023-01-03;ALFACEFAL 250 MG/5 ML;76.0;pharma_12;Fes;10.5;winter;0
2023-01-03;XATRAL LP;101.6;pharma_4;Casablanca;10.5;winter;1
2023-01-03;TERFINE 250 MG PROMOPHARM;199.0;pharma_6;Casablanca;10.5;winter;1
2023-01-03;HUMALOG;111.0;pharma_9;Marrakech;10.5;winter;1
2023-01-03;CODETUX ENF;13.35;pharma_8;Marrakech;10.5;winter;0
2023-01-03;BEDELIX;57.7;pharma_5;Rabat;10.5;winter;1
2023-01-03;CORONAT;116.9;pharma_15;Casablanca;10.5;winter;1
2023-01-03;NOVALGINE;9.2;pharma_16;Casablanca;10.5;winter;1
2023-01-03;UTROGESTAN;95.0;pharma_15;Casablanca;10.5;winter;0
2023-01-03;SKINOSALIC;34.7;pharma_17;Casablanca;10.5;winter;0
2023-01-03;LOSARTAN GT;172.0;pharma_8;Marrakech;10.5;winter;1
2023-01-03;GENTAGAM 40;9.6;pharma_10;Marrakech;10.5;winter;1
2023-01-03;SUFENTA;167.8;pharma_6;Casablanca;10.5;winter;1
2023-01-03;GEPRID;84.0;pharma_19;Tanger;10.5;winter;1
2023-01-03;DELFAMOL;10.2;pharma_8;Marrakech;10.5;winter;0
2023-01-03;BUTAMYL;19.4;pharma_18;Casablanca;10.5;winter;0
2023-01-03;DOPAMINE AGUETTANT 40MG/ML;0.0;pharma_17;Casablanca;10.5;winter;0
2023-01-03;BIOMOX;56.1;pharma_5;Rabat;10.5;winter;1
2023-01-03;DIAPHARM;24.35;pharma_16;Casablanca;10.5;winter;0
2023-01-03;VOGASET;99.0;pharma_20;Fes;10.5;winter;1
2023-01-03;RIFOREIL;20.4;pharma_14;Marrakech;10.5;winter;0
2023-01-03;ACTEMRA 80MG/4ML;0.0;pharma_14;Marrakech;10.5;winter;1
2023-01-03;CANAFLUCAN;234.3;pharma_10;Marrakech;10.5;winter;0
2023-01-03;CINABAC;80.0;pharma_4;Casablanca;10.5;winter;1
2023-01-04;ALPRAZ;35.7;pharma_8;Marrakech;11.7;winter;1
2023-01-04;FLUDEX LP;68.9;pharma_17;Casablanca;11.7;winter;1
2023-01-04;MEGAFLOX IV;80.0;pharma_13;Tanger;11.7;winter;0
2023-01-04;NOMADOL;42.1;pharma_1;Casablanca;11.7;winter;0
2023-01-04;TRIMAREL;71.3;pharma_15;Casablanca;11.7;winter;1
2023-01-04;ACTONEL;296.0;pharma_12;Fes;11.7;winter;0
2023-01-04;STREPTOCID;32.6;pharma_15;Casablanca;11.7;winter;0
2023-01-04;CARVEDILOL GT;63.0;pharma_8;Marrakech;11.7;winter;0
2023-01-04;BUTAZOLIDINE;14.7;pharma_5;Rabat;11.7;winter;1
2023-01-04;SOCLAV ENFANT;63.0;pharma_14;Marrakech;11.7;winter;0
2023-01-04;ATROPINE SULFATE 0,50 MG;173.0;pharma_2;Marrakech;11.7;winter;0
2023-01-04;SERTRALINE GT 100 MG;135.4;pharma_9;Marrakech;11.7;winter;1
2023-01-04;IRINOTECAN COOPER;1096.0;pharma_3;Fes;11.7;winter;0
2023-01-04;XARELTO;790.0;pharma_14;Marrakech;11.7;winter;0
2023-01-04;TERIX;296.0;pharma_4;Casablanca;11.7;winter;0
2023-01-04;NEOCIP;60.0;pharma_8;Marrakech;11.7;winter;1
2023-01-04;NOVALGINE;22.2;pharma_12;Fes;11.7;winter;1
2023-01-04;PYRALVEX;17.6;pharma_15;Casablanca;11.7;winter;0
2023-01-04;LONGAMYCINE;47.5;pharma_15;Casablanca;11.7;winter;0
2023-01-04;MEDIZAPIN;240.0;pharma_5;Rabat;11.7;winter;0
2023-01-04;EFICAL;59.9;pharma_20;Fes;11.7;winter;1
2023-01-04;CURACNE;123.0;pharma_5;Rabat;11.7;winter;1
2023-01-04;GASTROLIBER;145.0;pharma_20;Fes;11.7;winter;0
2023-01-04;STILNOX;56.6;pharma_6;Casablanca;11.7;winter;0
2023-01-04;LUVERIS 75 UI;286.2;pharma_16;Casablanca;11.7;winter;1
2023-01-04;FERRIPROX;0.0;pharma_18;Casablanca;11.7;winter;0
2023-01-04;AERRANE;554.3;pharma_1;Casablanca;11.7;winter;1
2023-01-04;PLASTENAN NEO;13.05;pharma_10;Marrakech;11.7;winter;0
2023-01-04;SICCAFLUID;38.5;pharma_3;Fes;11.7;winter;0
2023-01-04;REMICADE;6340.0;pharma_12;Fes;11.7;winter;0
2023-01-04;MUCILAR ADULTES;23.2;pharma_3;Fes;11.7;winter;0
2023-01-04;OREX;24.0;pharma_6;Casablanca;11.7;winter;0
